phone_price,phone_name,phone_parameter_url,phone_brand,phone_info,phone_size,phone_x,phone_y
6499,三星galaxy s10+（8gb ram/陶瓷版/全网通） ,http://detail.zol.com.cn/1212/1211590/param.shtml,三星手机,"3040x1440像素, 6.4英寸, 4100mAh, 8GB, 1000万像素+800万像素, 1600万像素+1200万像素+1200万像素, 高通 骁龙855, ",6.4,1440,3040
5499,小米10 pro（12gb/256gb/全网通） ,http://detail.zol.com.cn/1312/1311009/param.shtml,小米手机,"2340x1080像素, 6.67英寸, 4500mAh, 12GB, 2000万像素, 10800万像素主摄镜头+800万像素长焦镜头+1200万像素人像+2000万像素超广角镜头, 高通 骁龙865, ",6.67,1080,2340
1999,荣耀9x pro（8gb/128gb/全网通） ,http://detail.zol.com.cn/1285/1284835/param.shtml,荣耀手机,"2340x1080像素, 6.59英寸, 4000mAh, 8GB, 1600万像素, 4800万像素+800万像素+200万像素, 海思 麒麟 810, ",6.59,1080,2340
3998,iqoo 3（12gb/128gb/全网通/5g版） ,http://detail.zol.com.cn/1313/1312544/param.shtml,iQOO手机,"2400x1080像素, 6.44英寸, 4440mAh, 12GB, 1600万像素, 4800万像素主摄镜头+1300万像素超广角镜头+1300万像素人像镜头+200万像素景深镜头, 高通 骁龙865, ",6.44,1080,2400
1699,realme x（8gb/128gb/全网通） ,http://detail.zol.com.cn/1272/1271698/param.shtml,realme手机,"2340x1080像素, 6.53英寸, 3765mAh, 8GB, 1600万像素, 4800万像素+500万像素, 高通 骁龙710, ",6.53,1080,2340
2499,oppo r17（8gb ram/全网通） ,http://detail.zol.com.cn/1226/1225806/param.shtml,OPPO手机,"2340x1080像素, 6.4英寸, 3500mAh, 8GB, 2500万像素, 1600万像素+500万像素, 高通 骁龙670, ",6.4,1080,2340
1999,oppo reno（6gb ram/128gb/全网通） ,http://detail.zol.com.cn/1262/1261155/param.shtml,OPPO手机,"2340x1080像素, 6.4英寸, 3765mAh, 6GB, 1600万像素, 4800万像素+500万像素, 高通 骁龙710, ",6.4,1080,2340
2899,黑鲨游戏手机2 pro（12gb/128gb/全网通） ,http://detail.zol.com.cn/1285/1284516/param.shtml,黑鲨手机,"2340x1080像素, 6.39英寸, 4000mAh, 12GB, 2000万像素, 4800万像素+1200万像素长焦镜头, 高通 骁龙855 plus, ",6.39,1080,2340
1999,荣耀9x（8gb/128gb/全网通） ,http://detail.zol.com.cn/1296/1295046/param.shtml,荣耀手机,"2340x1080像素, 6.59英寸, 4000mAh, 8GB, 1600万像素, 4800万像素+200万像素, 海思 麒麟 810, ",6.59,1080,2340
935,荣耀8x（4gb ram/全网通） ,http://detail.zol.com.cn/1210/1209676/param.shtml,荣耀手机,"2340x1080像素, 6.5英寸, 3750mAh, 4GB, 1600万像素, 2000万像素+200万像素, 海思 麒麟 710, ",6.5,1080,2340
1199,oppo a8（4gb/128gb/全网通） ,http://detail.zol.com.cn/1306/1305856/param.shtml,OPPO手机,"1600x720像素, 6.5英寸, 4230mAh, 4GB, 800万像素, 1200万像素+200万像素+200万像素, 联发科 Helio P35（MT6765）, ",6.5,720,1600
2598,iqoo neo 855竞速版（8gb/128gb/全网通） ,http://detail.zol.com.cn/1304/1303313/param.shtml,iQOO手机,"2340x1080像素, 6.38英寸, 4500mAh, 8GB, 1600万像素, 双核1200万像素主摄像头+800万像素广角摄像头+200万像素副摄像头, 高通 骁龙855 Plus, ",6.38,1080,2340
2989,魅族16s pro（8gb/128gb/全网通） ,http://detail.zol.com.cn/1283/1282678/param.shtml,魅族手机,"2232x1080像素, 6.2英寸, 3600mAh, 8GB, 2000万像素, 4800万像素+2000万像素+1600万像素, 高通 骁龙855 Plus, ",6.2,1080,2232
1699,荣耀magic 2（6gb ram/全网通） ,http://detail.zol.com.cn/1205/1204795/param.shtml,荣耀手机,"2340x1080像素, 6.39英寸, 3500mAh, 6GB, 1600万像素+200万像素+200万像素, 1600万像素+2400万像素+1600万像素, 海思 麒麟 980, ",6.39,1080,2340
2499,realme x50（8gb/128gb/全网通/5g版） ,http://detail.zol.com.cn/1302/1301552/param.shtml,realme手机,"2400x1080像素, 6.57英寸, 4200mAh, 8GB, 1600万像素广角主摄镜头+800万像素超广角镜头, 6400万像素超广角主摄镜头+800万像素超广角镜头+1200万像素长焦镜头+200万像素微距镜头, 高通 骁龙765G, ",6.57,1080,2400
7999,三星galaxy s20+（12gb/128gb/全网通） ,http://detail.zol.com.cn/1311/1310745/param.shtml,三星手机,"3200x1440像素, 6.7英寸, 4500mAh, 12GB, 1000万像素, 6400万像素主摄镜头+1200万像素超广角镜头+1200万像广角镜头素, 高通 骁龙865, ",6.7,1440,3200
1199,华为畅享10e（4gb/128gb/全网通） ,http://detail.zol.com.cn/1314/1313058/param.shtml,华为手机,"1600x720像素, 6.3英寸, 5000mAh, 4GB, 800万像素, 1300万像素+200万像素, 联发科 MT6765, ",6.3,720,1600
